Number,Continent,Country,Province,City,Description,Highlights
11,North America,Canada,New Brunswick,Moncton,"Moncton is a city in southeastern New Brunswick, Canada. Resurgo Place is home to the Moncton Museum, which explores the city's history, as well as the Transportation Discovery Centre, with hands-on exhibits. The restored 1920s Capitol Theatre hosts concerts. To the northwest, Magnetic Hill seems to defy logic and, at its base, causes cars to roll uphill. The Magnetic Hill Zoo’s inhabitants include lions and zebras.","The Magnetic Hill is a TOURIST TRAP - we got lost and inadvertently driving into this ""attraction"". It was not the best use of $5. "
12,North America,Canada,New Brunswick,Sant John,"Saint John is a city on the Bay of Fundy, in New Brunswick, Canada. It’s known for the Reversing Rapids, a phenomenon caused by bay tides colliding with the Saint John River. Food and craft stalls fill the Saint John City Market, in an 1876 building. On a peninsula nearby, trails wind through Irving Nature Park’s salt marshes, volcanic rock and forests. The 1913 Imperial Theatre stages plays, concerts and dance.","The waterfront restaurants are amazinf and filled with seafood - a definite must for anyone not allergic…
The city is a gateway to Hopewell Rocks Park - you can view the highest tide level in the world. Prior to being eroded, some of the rock formations attracted tons of tourists."
13,North America,Canada,Prince Edward Island,Summerside,"Summerside is a Canadian city in Prince County, Prince Edward Island. It is the second largest city in the province and the primary service centre for the western part of the island.","Attended a volunteer conference and cleaned-up a beach - this is the first time I travelled outside of Alberta and realized that people still observed the ""Lord's Day"" rule - no shopping on Sundays"
14,North America,Canada,Prince Edward Island,Charlottetown,"Charlottetown is the capital of Canada’s Prince Edward Island. It's on the southern coast of the province. The Province House National Historic Site hosted the Charlottetown Conference of 1864, spurring the country’s birth. Victoria Row has shops, restaurants and the Confederation Centre of the Arts, with its musical based on “Anne of Green Gables.” Nearby is the Gothic Revival St. Dunstan’s Basilica.","The birthplace of Canada's Confederation. 
The small-town vibe is ever present and there are a lot of great restaurants."
15,North America,Canada,Prince Edward Island,Kensington,Home of the Anne of Green Gables Museum,The Museum is a great way to experience how the author lived and got inspired. The museum has antique furniture that I accidentally sat on - did not see the velvet rope protecting it.
16,North America,Canada,Nova Scotia,Halifax,"Halifax, formally known as the Halifax Regional Municipality (HRM), is the capital of the Canadian province of Nova Scotia. It had a population of 403,131 in 2016, with 316,701 in the urban area centred on Halifax Harbour.The regional municipality consists of four former municipalities that were amalgamated in 1996: Halifax, Dartmouth, Bedford, and Halifax County. 

Halifax is a major economic centre in Atlantic Canada, with a large concentration of government services and private sector companies. Major employers and economic generators include the Department of National Defence, Dalhousie University, Saint Mary's University, the Halifax Shipyard, various levels of government, and the Port of Halifax. Agriculture, fishing, mining, forestry, and natural gas extraction are major resource industries found in the rural areas of the municipality.","One of my most favourite cities in the world!!! 
There are numerous restaurants and pubs for everyone's taste. A visit to the Citadel is a MUST!!! The shoot the cannons everyday.
The Tall Ships festival is held annually and attracts a lot of sail boats from allover the world - both mordern and historical replicas.
The home of Alexander Keith Brewery - a must for any beer-loving individual."
17,North America,Canada,Nova Scotia,Cape Breton Island,"Rugged island known for its coastal drive, the Cabot Trail, & Celtic fiddle music in Sydney town.",This island is full of history and loads of attractions and small towns to visit - each with their own charming vibe to make a traveller stop when doing a driving tour.
18,North America,Canada,Newfoundland,St. John's,"St. John's, a city on Newfoundland island off Canada's Atlantic coast, is the capital of Newfoundland and Labrador province. Its harbour was settled by the British in the 1600s. Downtown is known for its colourful row houses. Above the city is Signal Hill with walking trails and the site of the first transatlantic wireless communication, Cabot Tower, which commemorates John Cabot's discovery of Newfoundland.","The home of the ""World Famous"" George Street - they claim that it has the most bars/pubs in a single street…it's true!!!

I got screeched at Christian's Pub - I am now an honourary Newfoundlander - I even have a certificate to prove it. That makes it official. If you feel like eating bologna, drinking screech, and kissing a (frozen) cod, then, this is the place for you! Just make sure you're one of the first ones to kiss the cod - the pub gets packed...

The city is also close to Cape Spear, which is the most eastern-point of North America."
19,North America,Canada,British Columbia,Kelowna,"Kelowna is a city in the south of Canada’s British Columbia province. It’s in the Okanagan Valley, on the eastern shore of Okanagan Lake, surrounded by provincial parks, pine forest, vineyards, orchards and mountains. Its downtown area incorporates waterfront City Park and a lakeside cultural district. More than 20 local vineyards offer wine tours and tastings.","Wineries and the lake!!!

I got introduced to this city during my dragonboat racing days. The wineries are the biggest draw after the lake activities. "
20,North America,Canada,British Columbia,Panorama,Panorama is a privately owned ski resort,"If you like to ski or snowboard, come here"
21,North America,Canada,British Columbia,Fernie,"Fernie is a city in the Elk Valley area of the East Kootenay region of southeastern British Columbia, Canada, located on BC Highway 3 on the eastern approaches to the Crowsnest Pass through the Rocky Mountains.","If you like to ski or snowboard, come here"
22,North America,Canada,British Columbia,Whistler,"Whistler is a town north of Vancouver, British Columbia, that's home to Whistler Blackcomb, one of the largest ski resorts in North America. Besides skiing and snowboarding, the area offers snowshoeing, tobogganing and ski jumping at the Olympic Park, a venue for the 2010 Vancouver Winter Olympics. The hub of Whistler is a compact, chalet-style pedestrian village at the base of Whistler and Blackcomb mountains.","If you like to ski or snowboard, come here.
The golf course is also highly-rated.
There are other activities that can be arranged in the town - some of the things I've already done are tree-top canopy tour (zip-lining), night tour of the surrounding area, bungy jumping, and white-water rafting."
23,North America,Canada,British Columbia,Vancouver,"Vancouver, a bustling west coast seaport in British Columbia, is among Canada’s densest, most ethnically diverse cities. A popular filming location, it’s surrounded by mountains, and also has thriving art, theatre and music scenes. Vancouver Art Gallery is known for its works by regional artists, while the Museum of Anthropology houses preeminent First Nations collections.","This city is very expensive to live-in and visit. The beauty of the location apparently makes up for it. 
Stanley Park is an amazing place to visit.
The home of the Vancouver Canucks - probably the third worst team in the NHL after the Calgary Flames and the Toronto Maple Leafs.
A visit to the Granville Island Market is a must."
24,North America,Canada,British Columbia,Victoria,"Victoria, capital of British Columbia, sits on the craggy southern end of Vancouver Island. With abundant parkland, it’s known for outdoor activities. The city's British colonial past shows in its Victorian architecture, including stately Craigdarroch Castle mansion. Butchart Gardens, with 55 acres of vivid floral displays, plus statuary, water features and a carousel, is one of many formal gardens in the city.","The city is very charming. My parents love visiting and are planning on retiring here. 
The downtown waterfront is very picturesque.
This is the start/end point of the TransCanada Highway 1."
25,North America,Canada,British Columbia,Bamfield,"Lush national park composed of a lengthy beach, 100+ small islands & a 75km rainforest hiking trail.",Start or end-point of the Pacific Rim National Park (West Coast Trail) - one of the most memorable and challenging 5-day hike I have ever done.
26,North America,Canada,British Columbia,Ucluelet,"Lush national park composed of a lengthy beach, 100+ small islands & a 75km rainforest hiking trail.",Start or end-point of the Pacific Rim National Park (West Coast Trail) - one of the most memorable and challenging 5-day hike I have ever done.
27,North America,United States,Washington,Seattle,"Seattle, a city on Puget Sound in the Pacific Northwest, is surrounded by water, mountains and evergreen forests, and contains thousands of acres of parkland. Washington State’s largest city, it’s home to a large tech industry, with Microsoft and Amazon headquartered in its metropolitan area. The futuristic Space Needle, a 1962 World’s Fair legacy, is its most iconic landmark.","Visit the Pike Place Market for one the most interesting places you will visit for mixed types of vendors. I went to visit the fish store that tosses the fish when someone buys it - I saw it in an instructional video and thought it would be interesting. 
Starbucks started in the city - the original location is a magnet for coffee lovers.
Home of the Seattle Seahawks - a NFL team that Vancouverites claim to love - but not really follow unless they make the playoffs - although, I have met some real fans.
The Monorail and Seattle Needle are also good spots to visit."
28,North America,United States,Oregon,Portland,,
29,North America,United States,California,San Francisco,,
30,North America,United States,California,Los Angeles,,
31,North America,United States,California,San Diego,,
32,North America,United States,Montana,Whitefish,,
33,North America,United States,Nevada,Las Vegas,,
34,North America,United States,Texas,Houston,,
35,North America,United States,New York,New York,,
36,North America,United States,Georgia,Atlanta,,
37,North America,United States,Florida,Tampa,,
38,North America,United States,Florida,Orlando,,
39,North America,Mexico,Baja California,Tijuana,,
40,North America,Mexico,Nayarit,Nuevo Vallarta,,
41,North America,Mexico,Jalisco,Puerto Vallarta,,
42,North America,Mexico,Quintana Roo,Tulum,,
43,North America,Mexico,Quintana Roo,Cancun,,
44,North America,Jamaica,,Montego Bay,,
45,South America,Peru,Lima District,Lima,,
46,South America,Peru,Cusco,Cusco,,
47,South America,Peru,Cusco,Aguas Calientes,,
48,South America,Peru,Madre de Dios,Puerto Maldonado,,
49,Europe,Portugal,,Lisbon,,
50,Europe,Portugal,,Fatima,,
51,Europe,Portugal,,Coimbra,,
52,Europe,Portugal,,Porto,,
53,Europe,Spain,,Madrid,,
54,Europe,Spain,,Barcelona,,
55,Europe,Spain,,Valencia,,
56,Europe,Spain,,Sevilla,,
57,Europe,Spain,,Granada,,
58,Europe,France,,Paris,,
59,Europe,France,,Nice,,
60,Europe,France,,Cannes,,
61,Europe,Monaco,,Monaco,,
62,Europe,Italy,,Rome,,
63,Europe,Italy,,Milan,,
64,Europe,Italy,,Naples,,
65,Europe,Italy,,Pompei,,
66,Europe,Italy,,Salerno,,
67,Europe,Italy,,Florence,,
68,Europe,Italy,,Verona,,
69,Europe,Italy,,Venice,,
70,Europe,Slovenia,,Ljubljana,,
71,Europe,Ireland,,Dublin,,
72,Europe,United Kingdom,,London,,
73,Europe,United Kingdom,,Bournemouth,,
74,Europe,United Kingdom,,Manchester,,
75,Europe,United Kingdom,,Newcastle,,
76,Europe,Belgium,,Brussels,,
77,Europe,Belgium,,Bruges,,
78,Europe,Nederlands,,Amsterdam,,
79,Europe,Nederlands,,Volendam,,
80,Europe,Nederlands,,Hilversum,,
81,Europe,Luxembourg,,Luxembourg,,
82,Europe,Germany,,Berlin,,
83,Europe,Germany,,Frankfurt,,
84,Europe,Germany,,Mainz,,
85,Europe,Germany,,Koblenz,,
86,Europe,Germany,,Bonn,,
87,Europe,Germany,,Cologne,,
88,Europe,Germany,,Koln,,
89,Europe,Poland,,Auschwitz,,
90,Europe,Poland,,Krakow,,
91,Europe,Czech Republic,,Prague,,
92,Europe,Austia,,Vienna,,
93,Europe,Austia,,Salzburg,,
94,Europe,Hungary,,Budapest,,
95,Europe,Romania,,Bucharest,,
96,Europe,Romania,,Brasov,,
97,Europe,Greece,,Athens,,
98,Europe,Greece,,Corfu,,
99,Europe,Norway,,Oslo,,
100,Europe,Norway,,Sandefjord,,
101,Europe,Sweden,,Stockholm,,
102,Europe,Finland,,Helsinki,,
103,Asia,India,,New Delhi,,
104,Asia,Thailand,,Bangkok,,
105,Asia,Thailand,,Chang Mai,,
106,Asia,Thailand,,Doi Inthanon,,
107,Asia,Thailand,,Ko Tao,,
108,Asia,Cambodia,Siem Reap,Siem Reap,,
109,Asia,Philippines,National Capital Region,Manila,,
110,Asia,Philippines,Nueva Ecija,Munoz,,
